metodo;n;m;t_carga;t_ordenacao;t_verificacao;t_gravacao;comp_ordenacao;comp_ordenacao_destino;comp_busca;prof_ordenacao;prof_busca
seq-iter;50000;1;0.562950000;0.000000000;0.000663000;0.000000000;0;0;50000;0;0
seq-iter;50000;1;0.563565000;0.000000000;0.001001000;0.000000000;0;0;50000;0;0
seq-iter;50000;1;0.564030000;0.000000000;0.000725000;0.000000000;0;0;50000;0;0
seq-iter;50000;1;0.562733000;0.000000000;0.000723000;0.000000000;0;0;50000;0;0
seq-iter;50000;1;0.562307000;0.000000000;0.000889000;0.000000000;0;0;50000;0;0
seq-rec;50000;1;0.563749000;0.000000000;0.001322000;0.000000000;0;0;50000;0;50001
seq-rec;50000;1;0.563762000;0.000000000;0.001614000;0.000000000;0;0;50000;0;50001
seq-rec;50000;1;0.561398000;0.000000000;0.001364000;0.000000000;0;0;50000;0;50001
seq-rec;50000;1;0.558385000;0.000000000;0.001321000;0.000000000;0;0;50000;0;50001
seq-rec;50000;1;0.578984000;0.000000000;0.002428000;0.000000000;0;0;50000;0;50001
bin-iter-iter;50000;1;0.566664000;0.015419000;0.015423000;0.000000000;736478;736478;16;0;0
bin-iter-iter;50000;1;0.559148000;0.013762000;0.013768000;0.000000000;736478;736478;16;0;0
bin-iter-iter;50000;1;0.563019000;0.014109000;0.014113000;0.000000000;736478;736478;16;0;0
bin-iter-iter;50000;1;0.566746000;0.014164000;0.014170000;0.000000000;736478;736478;16;0;0
bin-iter-iter;50000;1;0.567545000;0.013656000;0.013662000;0.000000000;736478;736478;16;0;0
bin-iter-rec;50000;1;0.567364000;0.013795000;0.013799000;0.000000000;736478;736478;16;0;17
bin-iter-rec;50000;1;0.564568000;0.013699000;0.013703000;0.000000000;736478;736478;16;0;17
bin-iter-rec;50000;1;0.564827000;0.013744000;0.013749000;0.000000000;736478;736478;16;0;17
bin-iter-rec;50000;1;0.566320000;0.013817000;0.013820000;0.000000000;736478;736478;16;0;17
bin-iter-rec;50000;1;0.565850000;0.013940000;0.013943000;0.000000000;736478;736478;16;0;17
bin-rec-iter;50000;1;0.567448000;0.012527000;0.012531000;0.000000000;724824;724824;16;17;0
bin-rec-iter;50000;1;0.569259000;0.012197000;0.012201000;0.000000000;724824;724824;16;17;0
bin-rec-iter;50000;1;0.563803000;0.012002000;0.012007000;0.000000000;724824;724824;16;17;0
bin-rec-iter;50000;1;0.565050000;0.012026000;0.012031000;0.000000000;724824;724824;16;17;0
bin-rec-iter;50000;1;0.568065000;0.012052000;0.012056000;0.000000000;724824;724824;16;17;0
bin-rec-rec;50000;1;0.563252000;0.011964000;0.011967000;0.000000000;724824;724824;16;17;17
bin-rec-rec;50000;1;0.564550000;0.011997000;0.012001000;0.000000000;724824;724824;16;17;17
