algoritmo;n;m;tempo_mediano_s;comparacoes;profundidade_max;comp_por_consulta;teorico_por_consulta;us_por_consulta
seq_iter;1000;1000;0.00240001;742657;0;742.657;750.25;2.4000100000000004
seq_rec;1000;1000;0.011690016;742657;1001;742.657;750.25;11.690016
bin_iter;1000;1000;0.000129698;9489;0;9.489;9.482892142331043;0.129698
bin_rec;1000;1000;0.000153569;9489;11;9.489;9.482892142331043;0.15356899999999998
seq_iter;2000;1000;0.004691499;1479876;0;1479.876;1500.25;4.691498999999999
seq_rec;2000;1000;0.024369637;1479876;2001;1479.876;1500.25;24.369636999999997
bin_iter;2000;1000;0.000159602;10476;0;10.476;10.482892142331043;0.159602
bin_rec;2000;1000;0.000180858;10476;12;10.476;10.482892142331043;0.180858
seq_iter;5000;1000;0.011826924;3765837;0;3765.837;3750.25;11.826924000000002
seq_rec;5000;1000;0.063492539;3765837;5001;3765.837;3750.25;63.492538999999994
bin_iter;5000;1000;0.000192177;11871;0;11.871;12.143856189774723;0.192177
bin_rec;5000;1000;0.0002133;11871;14;11.871;12.143856189774723;0.21330000000000002
seq_iter;10000;1000;0.023387486;7610746;0;7610.746;7500.25;23.387486
seq_rec;10000;1000;0.128420319;7610746;10001;7610.746;7500.25;128.420319
bin_iter;10000;1000;0.000212131;12821;0;12.821;13.143856189774723;0.21213100000000001
bin_rec;10000;1000;0.000249426;12821;15;12.821;13.143856189774723;0.249426
seq_iter;20000;1000;0.04621681;14974654;0;14974.654;15000.25;46.216809999999995
seq_rec;20000;1000;0.25843867;14974654;20001;14974.654;15000.25;258.43867
bin_iter;20000;1000;0.000242082;13888;0;13.888;14.143856189774723;0.242082
bin_rec;20000;1000;0.00026555;13888;16;13.888;14.143856189774723;0.26554999999999995
seq_iter;50000;1000;0.115966554;37928151;0;37928.151;37500.25;115.966554
seq_rec;50000;1000;0.673529786;37928151;50001;37928.151;37500.25;673.529786
bin_iter;50000;1000;0.000281175;15161;0;15.161;15.304820237218406;0.281175
bin_rec;50000;1000;0.000318825;15161;17;15.161;15.304820237218406;0.31882499999999997
seq_iter;100000;1000;0.231542737;74730633;0;74730.633;75000.25;231.542737
seq_rec;100000;1000;1.361081989;74730633;100001;74730.633;75000.25;1361.081989
bin_iter;100000;1000;0.000321758;16173;0;16.173;16.304820237218408;0.321758
bin_rec;100000;1000;0.000371571;16173;18;16.173;16.304820237218408;0.37157100000000004
seq_iter;200000;1000;0.470346352;151508532;0;151508.532;150000.25;470.346352
seq_rec;200000;1000;2.781631481;151508532;200001;151508.532;150000.25;2781.631481
bin_iter;200000;1000;0.000440021;17206;0;17.206;17.304820237218408;0.440021
bin_rec;200000;1000;0.000479459;17206;19;17.206;17.304820237218408;0.479459
bin_iter;500000;1000;0.000515102;18399;0;18.399;18.465784284662085;0.515102
bin_rec;500000;1000;0.000597074;18399;20;18.399;18.465784284662085;0.597074
bin_iter;1000000;1000;0.000691679;19476;0;19.476;19.465784284662085;0.6916789999999999
bin_rec;1000000;1000;0.000838645;19476;21;19.476;19.465784284662085;0.838645
