n;comparacoes_mergesort_iter;comparacoes_mergesort_rec;tempo_mediano_s_mergesort_iter;tempo_mediano_s_mergesort_rec;profundidade_max_mergesort_iter;profundidade_max_mergesort_rec;pior_top_down;medio_aprox;prof_teorica;razao_tempo_rec_iter;ns_por_nlgn_iter;ns_por_nlgn_rec
1000;8708.0;8704.0;6.2579e-05;5.6675e-05;0.0;11.0;8977;8701.0;11;0.9056552517617732;6.279385366218759;5.6869583347520445
2000;19648.0;19582.0;0.000118515;0.000174986;0.0;12.0;19953;19403.0;12;1.476488208243682;5.403854248973677;7.978727077677154
5000;56716.0;54813.0;0.000373466;0.000589494;0.0;14.0;56809;55116.0;14;1.5784408754746082;6.078690458633503;9.594853489264613
10000;121996.0;118119.0;0.000925283;0.00124437;0.0;15.0;123617;120232.0;15;1.3448534124154448;6.963448436948887;9.364817392609707
20000;263918.0;255078.0;0.001837215;0.002506912;0.0;16.0;267233;260464.0;16;1.3645174897875318;6.429353248423716;8.772964955496443
50000;743618.0;727604.0;0.005194842;0.007039857;0.0;17.0;734465;717257.0;17;1.3551628711710577;6.655940613760263;9.01988359248741
100000;1573184.0;1541041.0;0.01028192;0.01302805;0.0;18.0;1568929;1534514.0;18;1.2670833852043197;6.190332666034803;7.8436676700202606
200000;3297788.0;3261550.0;0.023921162;0.034630354;0.0;19.0;3337857;3269028.0;19;1.4476869476491152;6.792064277156983;9.832782801633984
500000;8952395.0;8935736.0;0.059285192;0.086909369;0.0;20.0;8975713;8833534.0;20;1.4659540783809892;6.263104061653185;9.181422942505025
1000000;18728677.0;18683720.0;0.153441233;0.208984755;0.0;21.0;18951425;18667069.0;21;1.3619856339397376;7.698402284110989;10.485113315248029
